base,inter,quote,pair1,pair2,pair3,fee_bps,min_profit_bps
AVAX,DOT,BTC,AVAX/DOT,DOT/BTC,BTC/AVAX,12,10
ETH,BNB,SOL,ETH/BNB,BNB/SOL,SOL/ETH,6,17
BTC,BNB,XRP,BTC/BNB,BNB/XRP,XRP/BTC,5,9
ADA,DOGE,AVAX,ADA/DOGE,DOGE/AVAX,AVAX/ADA,9,14
USDT,USDC,XRP,USDT/USDC,USDC/XRP,XRP/USDT,6,17
USDT,USDC,XRP,USDT/USDC,USDC/XRP,XRP/USDT,11,12
BNB,DOGE,TRX,BNB/DOGE,DOGE/TRX,TRX/BNB,11,11
DOT,LINK,USDT,DOT/LINK,LINK/USDT,USDT/DOT,6,15
BTC,USDT,XRP,BTC/USDT,USDT/XRP,XRP/BTC,9,9
XRP,LTC,BTC,XRP/LTC,LTC/BTC,BTC/XRP,8,12
BNB,SOL,DOGE,BNB/SOL,SOL/DOGE,DOGE/BNB,12,9
SOL,LTC,BTC,SOL/LTC,LTC/BTC,BTC/SOL,5,10
USDT,USDC,XRP,USDT/USDC,USDC/XRP,XRP/USDT,10,15
SOL,DOGE,AVAX,SOL/DOGE,DOGE/AVAX,AVAX/SOL,12,8
DOGE,AVAX,ETH,DOGE/AVAX,AVAX/ETH,ETH/DOGE,7,17
ETH,XRP,DOGE,ETH/XRP,XRP/DOGE,DOGE/ETH,12,10
TRX,AVAX,ETH,TRX/AVAX,AVAX/ETH,ETH/TRX,12,8
ETH,USDC,ADA,ETH/USDC,USDC/ADA,ADA/ETH,7,12
DOGE,TON,LINK,DOGE/TON,TON/LINK,LINK/DOGE,8,9
SOL,XRP,ADA,SOL/XRP,XRP/ADA,ADA/SOL,6,11
DOGE,LTC,LINK,DOGE/LTC,LTC/LINK,LINK/DOGE,10,11
ETH,USDC,BNB,ETH/USDC,USDC/BNB,BNB/ETH,7,13
TRX,AVAX,ETH,TRX/AVAX,AVAX/ETH,ETH/TRX,10,14
ETH,BNB,DOGE,ETH/BNB,BNB/DOGE,DOGE/ETH,7,9
ADA,TON,AVAX,ADA/TON,TON/AVAX,AVAX/ADA,11,9
SOL,DOGE,TON,SOL/DOGE,DOGE/TON,TON/SOL,10,11
USDT,BNB,SOL,USDT/BNB,BNB/SOL,SOL/USDT,7,14
USDC,BNB,TRX,USDC/BNB,BNB/TRX,TRX/USDC,6,13
DOT,BTC,SOL,DOT/BTC,BTC/SOL,SOL/DOT,9,15
USDT,ADA,AVAX,USDT/ADA,ADA/AVAX,AVAX/USDT,6,17
SOL,DOGE,LTC,SOL/DOGE,DOGE/LTC,LTC/SOL,5,10
SOL,TRX,DOT,SOL/TRX,TRX/DOT,DOT/SOL,8,10
DOGE,LTC,BTC,DOGE/LTC,LTC/BTC,BTC/DOGE,8,17
DOGE,LTC,DOT,DOGE/LTC,LTC/DOT,DOT/DOGE,10,17
TON,ETH,USDT,TON/ETH,ETH/USDT,USDT/TON,9,9
AVAX,DOT,LINK,AVAX/DOT,DOT/LINK,LINK/AVAX,9,15
XRP,ADA,TON,XRP/ADA,ADA/TON,TON/XRP,7,11
BTC,USDT,BNB,BTC/USDT,USDT/BNB,BNB/BTC,10,10
LTC,AVAX,USDT,LTC/AVAX,AVAX/USDT,USDT/LTC,8,14
ADA,LTC,TON,ADA/LTC,LTC/TON,TON/ADA,9,17
DOGE,AVAX,LINK,DOGE/AVAX,AVAX/LINK,LINK/DOGE,8,12
BNB,DOGE,DOT,BNB/DOGE,DOGE/DOT,DOT/BNB,6,15
LINK,USDC,BNB,LINK/USDC,USDC/BNB,BNB/LINK,11,12
LTC,BTC,USDC,LTC/BTC,BTC/USDC,USDC/LTC,8,16
AVAX,BTC,BNB,AVAX/BTC,BTC/BNB,BNB/AVAX,8,12
AVAX,BTC,BNB,AVAX/BTC,BTC/BNB,BNB/AVAX,8,10
TRX,LTC,TON,TRX/LTC,LTC/TON,TON/TRX,7,12
DOT,BTC,USDT,DOT/BTC,BTC/USDT,USDT/DOT,10,16
TON,BTC,ETH,TON/BTC,BTC/ETH,ETH/TON,6,15
SOL,DOGE,DOT,SOL/DOGE,DOGE/DOT,DOT/SOL,8,8
